ride_id,bike_type,starttime,stoptime,start station name,start_station_id,end station name,end_station_id,start station latitude,start station longitude,end station latitude,end station longitude,usertype,tripduration,bike_id,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m,CRASH_LATITUDE,CRASH_LONGITUDE,CRASH_DATETIME
E15C027C290A9B06,classic_bike,2020-02-26 12:06:33.845,2020-02-26 12:26:21.341,E 88 St & 1 Ave,7235.13,Frederick Douglass Blvd & W 115 St,7658.13,40.778301,-73.948813,40.803865,-73.955931,member,,,,,start,4294155,35.20663718414614,2924.7879201753894,40.778183,-73.948425,2020-02-26 12:26:00
1E2A9D61EE89019D,classic_bike,2020-02-26 12:25:42.361,2020-02-26 12:32:31.911,E 88 St & 1 Ave,7235.13,1 Ave & E 78 St,7020.09,40.778301,-73.948813,40.771404,-73.953517,member,,,,,start,4294155,35.20663718414614,867.2090761621282,40.778183,-73.948425,2020-02-26 12:26:00
1514B2DD7124B7EC,classic_bike,2020-02-26 12:26:21.250,2020-02-26 12:32:27.876,E 88 St & 1 Ave,7235.13,1 Ave & E 78 St,7020.09,40.778301,-73.948813,40.771404,-73.953517,casual,,,,,start,4294155,35.20663718414614,867.2090761621282,40.778183,-73.948425,2020-02-26 12:26:00
0323A0C8A9463CFE,classic_bike,2020-02-27 18:40:21.081,2020-02-27 18:47:44.258,Dean St & 4 Ave,4322.02,Berkeley Pl & 7 Ave,4051.01,40.683125,-73.978951,40.675147,-73.975232,member,,,,,start,4294438,90.32329706549243,895.9264672337265,40.682487,-73.979614,2020-02-27 18:41:00
68D38AFD1BA9DB40,classic_bike,2020-02-27 18:40:33.834,2020-02-27 18:47:00.295,Dean St & 4 Ave,4322.02,Fulton St & Waverly Ave,4345.11,40.683125,-73.978951,40.683239,-73.965996,member,,,,,start,4294438,90.32329706549243,1151.344200088093,40.682487,-73.979614,2020-02-27 18:41:00
0A69F59A546CB74B,classic_bike,2020-03-01 17:30:25.815,2020-03-01 17:33:22.029,President St & Henry St,4307.13,Carroll St & Smith St,4225.14,40.6828,-73.999904,40.680611,-73.994758,member,,,,,start,4298225,12.311095488045439,508.309704056292,40.6828,-74.00005,2020-03-01 17:30:00
203B0E745B5B54C5,classic_bike,2020-03-03 09:41:06.026,2020-03-03 10:00:01.583,Milton St & Franklin St,5752.07,Jay St & York St,4895.09,40.72906,-73.95779,40.701403,-73.986727,member,,,,,start,4296763,33.443828221964345,3931.827376703769,40.728924,-73.957436,2020-03-03 10:00:00
36F83AF1E4E50DA9,classic_bike,2020-03-03 10:00:54.679,2020-03-03 10:27:55.131,Milton St & Franklin St,5752.07,Berry St & N 8 St,5379.09,40.72906,-73.95779,40.71901,-73.958525,member,,,,,start,4296763,33.443828221964345,1106.201243379654,40.728924,-73.957436,2020-03-03 10:00:00
5D3B8B29157AC406,classic_bike,2020-03-03 12:02:16.082,2020-03-03 12:17:58.674,North Moore St & Greenwich St,5470.12,Liberty St & Broadway,5105.01,40.720195,-74.010301,40.709056,-74.010434,member,,,,,end,4297209,1239.2819514943253,89.91851848990657,40.709087,-74.0115,2020-03-03 12:17:00
A15FD249C7A21CFB,classic_bike,2020-03-03 12:17:48.138,2020-03-03 12:39:28.735,Liberty St & Broadway,5105.01,Bus Slip & State St,4889.06,40.709056,-74.010434,40.701907,-74.013942,casual,,,,,start,4297209,89.91851848990657,824.4902113066411,40.709087,-74.0115,2020-03-03 12:17:00
26A1E9C46ECE790C,classic_bike,2020-03-04 10:46:54.754,2020-03-04 11:02:14.062,E 55 St & 2 Ave,6650.07,St Marks Pl & 2 Ave,5669.10,40.757973,-73.966033,40.728419,-73.98714,member,,,,,start,4297380,76.18932694003884,3810.8216707182814,40.758633,-73.96579,2020-03-04 11:03:00
6FD863D8EAADDBAE,classic_bike,2020-03-04 10:55:14.861,2020-03-04 11:02:52.563,E 55 St & 2 Ave,6650.07,2 Ave & E 31 St,6197.02,40.757973,-73.966033,40.742909,-73.977061,member,,,,,start,4297380,76.18932694003884,1989.5802363911407,40.758633,-73.96579,2020-03-04 11:03:00
F5399EC917F413C6,classic_bike,2020-03-04 15:36:07.474,2020-03-04 15:45:20.521,E 43 St & 2 Ave,6422.08,W 31 St & 7 Ave,6331.01,40.750224,-73.971214,40.749156,-73.9916,member,,,,,end,4299448,1756.2647495258805,35.09467371740718,40.7491,-73.99201,2020-03-04 15:45:00
5D66828F8F0EB360,classic_bike,2020-03-04 15:40:43.543,2020-03-04 15:45:29.559,Broadway & E 22 St,6098.07,W 31 St & 7 Ave,6331.01,40.740343,-73.989551,40.749156,-73.9916,member,,,,,end,4299448,995.5271289334332,35.09467371740718,40.7491,-73.99201,2020-03-04 15:45:00
9DCCD7E6901878A8,classic_bike,2020-03-04 15:43:20.124,2020-03-04 15:45:44.464,W 31 St & 7 Ave,6331.01,8 Ave & W 31 St,6450.05,40.749156,-73.9916,40.750585,-73.994685,member,,,,,start,4299448,35.09467371740718,279.36071173298035,40.7491,-73.99201,2020-03-04 15:45:00
09CAC6270CB3F061,classic_bike,2020-03-04 15:45:50.384,2020-03-04 15:52:35.695,E 24 St & Park Ave S,6131.1,W 31 St & 7 Ave,6331.01,40.740964,-73.986022,40.749156,-73.9916,member,,,,,end,4299448,1035.820104952503,35.09467371740718,40.7491,-73.99201,2020-03-04 15:45:00
1A26898459222B4B,classic_bike,2020-03-05 16:14:46.544,2020-03-05 16:19:21.689,Fulton St & Waverly Ave,4345.11,S Portland Ave & Hanson Pl,4354.05,40.683239,-73.965996,40.685396,-73.974315,member,,,,,end,4298011,816.6607405579158,78.8463691238911,40.685406,-73.97525,2020-03-05 16:20:00
CFAFCF3EBFB28186,classic_bike,2020-03-05 20:38:09.116,2020-03-05 20:44:57.544,State St & Smith St,4565.06,Hicks St & Montague St,4645.09,40.689269,-73.989129,40.695128,-73.995951,member,,,,,start,4298020,96.45971361689143,870.3428491653104,40.68987,-73.988304,2020-03-05 20:45:00
2EF3F717337CA32D,classic_bike,2020-03-05 20:45:38.853,2020-03-05 20:55:58.030,State St & Smith St,4565.06,Bergen St & Flatbush Ave,4281.08,40.689269,-73.989129,40.680945,-73.975673,member,,,,,start,4298020,96.45971361689143,1455.7448060854697,40.68987,-73.988304,2020-03-05 20:45:00
6EB3B2209D350D3C,classic_bike,2020-03-06 14:36:11.513,2020-03-06 14:41:43.939,Forsyth St & Broome St,5453.05,Clinton St & Grand St,5303.06,40.718939,-73.992663,40.715595,-73.98703,member,,,,,end,4298683,620.9970223598929,54.64024335878607,40.715878,-73.9865,2020-03-06 14:36:00
35BBAD073E1A40B1,classic_bike,2020-03-08 15:25:10.239,2020-03-08 15:36:41.563,W 41 St & 8 Ave,6602.03,Lexington Ave & E 26 St,6089.08,40.756405,-73.990026,40.741459,-73.983293,member,,,,,start,4306303,94.01678799451494,1837.6455725668166,40.757233,-73.9898,2020-03-08 15:26:00
F5ED0F3B4CCAF125,classic_bike,2020-03-09 18:47:11.240,2020-03-09 18:59:51.836,Central Park S & 6 Ave,6876.04,3 Ave & E 72 St,7028.04,40.765909,-73.976342,40.769943,-73.960607,member,,,,,end,4306951,1455.6867727153558,67.92906987292888,40.77043,-73.96012,2020-03-09 19:00:00
F5C3AA48342A3ED9,classic_bike,2020-03-09 19:00:27.125,2020-03-09 19:15:57.545,FDR Drive & E 35 St,6230.04,3 Ave & E 72 St,7028.04,40.744219,-73.971212,40.769943,-73.960607,member,,,,,end,4306951,3060.6127626099887,67.92906987292888,40.77043,-73.96012,2020-03-09 19:00:00
A39C96129EBF3C69,classic_bike,2020-03-09 21:34:38.511,2020-03-09 21:50:12.667,Lispenard St & Broadway,5391.06,E 2 St & Avenue A,5553.1,40.719392,-74.002472,40.723077,-73.985836,member,,,,,start,4307075,49.049917823639944,1413.5255134568124,40.719395,-74.00189,2020-03-09 21:50:00
