tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
384,2016-03-31 19:26:12,2016-03-31 19:32:36,350.0,Clinton St & Grand St,40.71559509,-73.9870295,151.0,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,23368.0,Subscriber,1988.0,1.0,,,,,,,,,,,,,start,3406167,55.84879611857965,1139.3818426496987
622,2016-03-31 19:33:26,2016-03-31 19:43:48,152.0,Warren St & Church St,40.71473993,-74.00910627,350.0,Clinton St & Grand St,40.71559509,-73.9870295,21425.0,Subscriber,1960.0,2.0,,,,,,,,,,,,,end,3406167,1909.934177097636,55.84879611857965
1439,2016-04-05 08:46:28,2016-04-05 09:10:28,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,17579.0,Subscriber,1986.0,1.0,,,,,,,,,,,,,end,3407744,4740.651645531221,85.83581092655554
625,2016-04-05 09:00:51,2016-04-05 09:11:16,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,362.0,Broadway & W 37 St,40.75172632,-73.98753523,19336.0,Subscriber,1992.0,1.0,,,,,,,,,,,,,start,3407744,85.83581092655554,1427.2312214400467
333,2016-04-08 11:55:18,2016-04-08 12:00:52,354.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,19521.0,Subscriber,1980.0,1.0,,,,,,,,,,,,,end,3421149,552.0513073014116,20.584785396741832
313,2016-04-08 11:55:42,2016-04-08 12:00:55,354.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,20733.0,Subscriber,1967.0,2.0,,,,,,,,,,,,,end,3421149,552.0513073014116,20.584785396741832
385,2016-04-15 10:32:58,2016-04-15 10:39:23,458.0,11 Ave & W 27 St,40.751396,-74.005226,212.0,W 16 St & The High Line,40.74334935,-74.00681753,15349.0,Subscriber,1988.0,1.0,,,,,,,,,,,,,start,3406712,76.26894328340602,832.8474128425871
505,2016-04-15 14:20:52,2016-04-15 14:29:17,497.0,E 17 St & Broadway,40.73704984,-73.99009296,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,15531.0,Subscriber,1980.0,1.0,,,,,,,,,,,,,end,3407447,1348.9924704774196,91.00109001780895
2258,2016-04-20 19:02:41,2016-04-20 19:40:20,422.0,W 59 St & 10 Ave,40.770513,-73.988038,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,19558.0,Subscriber,1985.0,1.0,,,,,,,,,,,,,end,3407091,4255.456720393916,36.86082120043666
669,2016-04-20 19:28:06,2016-04-20 19:39:16,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,361.0,Allen St & Hester St,40.71605866,-73.99190759,15746.0,Subscriber,1992.0,2.0,,,,,,,,,,,,,start,3407091,36.86082120043666,2027.2792102791598
560,2016-04-20 19:30:25,2016-04-20 19:39:45,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,302.0,Avenue D & E 3 St,40.72082834,-73.97793172,19546.0,Subscriber,1982.0,1.0,,,,,,,,,,,,,start,3407091,36.86082120043666,1340.5232477164222
410,2016-04-20 19:32:44,2016-04-20 19:39:34,301.0,E 2 St & Avenue B,40.72217444,-73.98368779,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,23399.0,Subscriber,1978.0,1.0,,,,,,,,,,,,,end,3407091,1166.4202672970698,36.86082120043666
379,2016-04-20 19:39:09,2016-04-20 19:45:29,537.0,Lexington Ave & E 24 St,40.74025878,-73.98409214,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,15650.0,Subscriber,1990.0,1.0,,,,,,,,,,,,,end,3407091,881.5286466367212,36.86082120043666
367,2016-04-20 19:39:19,2016-04-20 19:45:27,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,16247.0,Subscriber,1982.0,1.0,,,,,,,,,,,,,start,3407091,36.86082120043666,651.9236767823973
529,2016-04-20 19:39:27,2016-04-20 19:48:17,527.0,E 33 St & 2 Ave,40.744023,-73.976056,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,19002.0,Subscriber,1992.0,2.0,,,,,,,,,,,,,end,3407091,1360.017028866857,36.86082120043666
749,2016-04-20 19:40:31,2016-04-20 19:53:01,519.0,Pershing Square North,40.751873,-73.977706,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,17049.0,Subscriber,1988.0,1.0,,,,,,,,,,,,,end,3407091,2174.162647431713,36.86082120043666
492,2016-04-20 19:40:32,2016-04-20 19:48:45,297.0,E 15 St & 3 Ave,40.734232,-73.986923,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,14738.0,Subscriber,1967.0,1.0,,,,,,,,,,,,,end,3407091,482.0565813082285,36.86082120043666
584,2016-04-20 19:40:37,2016-04-20 19:50:21,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,19208.0,Subscriber,1986.0,1.0,,,,,,,,,,,,,end,3407091,1831.694957303587,36.86082120043666
765,2016-04-20 19:40:58,2016-04-20 19:53:43,368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,16459.0,Subscriber,1990.0,2.0,,,,,,,,,,,,,end,3407091,1744.0195737428726,36.86082120043666
532,2016-04-21 12:05:40,2016-04-21 12:14:32,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,16795.0,Subscriber,1967.0,1.0,,,,,,,,,,,,,start,3407094,41.16290665804152,1129.8449502148196
1557,2016-04-21 12:14:35,2016-04-21 12:40:32,3139.0,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,16543.0,Subscriber,1997.0,1.0,,,,,,,,,,,,,end,3407094,4338.644042901959,41.16290665804152
1207,2016-04-24 16:00:50,2016-04-24 16:20:58,428.0,E 3 St & 1 Ave,40.72467721,-73.98783413,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,20325.0,Subscriber,1959.0,2.0,,,,,,,,,,,,,start,3431134,29.254262351905766,601.6904203279195
662,2016-04-24 16:19:33,2016-04-24 16:30:35,2004.0,6 Ave & Broome St,40.724399,-74.004704,428.0,E 3 St & 1 Ave,40.72467721,-73.98783413,15843.0,Subscriber,1978.0,2.0,,,,,,,,,,,,,end,3431134,1449.0794932079286,29.254262351905766
1048,2016-04-29 15:05:22,2016-04-29 15:22:50,475.0,E 16 St & Irving Pl,40.73524276,-73.98758561,265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,18535.0,Subscriber,1979.0,1.0,,,,,,,,,,,,,start,3431207,23.799750913095405,1464.8096647664383
438,2016-04-29 15:16:40,2016-04-29 15:23:58,475.0,E 16 St & Irving Pl,40.73524276,-73.98758561,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,16478.0,Subscriber,1969.0,1.0,,,,,,,,,,,,,start,3431207,23.799750913095405,343.16291250133344
140,2016-04-29 15:22:03,2016-04-29 15:24:23,285.0,Broadway & E 14 St,40.73454567,-73.99074142,475.0,E 16 St & Irving Pl,40.73524276,-73.98758561,17595.0,Subscriber,1989.0,1.0,,,,,,,,,,,,,end,3431207,289.757731380387,23.799750913095405
1863,2016-04-29 15:29:07,2016-04-29 16:00:11,360.0,William St & Pine St,40.70717936,-74.00887308,384.0,Fulton St & Washington Ave,40.683048,-73.964915,19619.0,Subscriber,1980.0,1.0,,,,,,,,,,,,,end,3432636,4619.6170472672875,48.2924886836371
356,2016-05-06 14:35:28,2016-05-06 14:41:24,510.0,W 51 St & 6 Ave,40.7606597,-73.98042047,477.0,W 41 St & 8 Ave,40.75640548,-73.9900262,23974.0,Subscriber,1967.0,1.0,,,,,,,,,,,,,start,3437382,40.007683933563534,962.1920482580699
